,ppg
1758,32.258854
1759,32.258854
1760,35.799755
1761,35.799755
1762,35.799755
1763,40.43956
1764,40.43956
1765,45.811966
1766,45.811966
1767,45.811966
1768,51.575092
1769,51.575092
1770,57.362637
1771,57.362637
1772,62.588524
1773,62.588524
1774,62.588524
1775,67.130646
1776,67.130646
1777,70.86691
1778,70.86691
1779,70.86691
1780,73.431015
1781,73.431015
1782,74.82295
1783,74.82295
1784,75.33578
1785,75.33578
1786,75.33578
1787,75.26252
1788,75.26252
1789,74.60317
1790,74.60317
1791,74.60317
1792,73.650795
1793,73.650795
1794,72.57632
1795,72.57632
1796,71.47741
1797,71.47741
1798,71.47741
1799,70.50061
1800,70.50061
1801,69.71917
1802,69.71917
1803,69.71917
1804,69.08425
1805,69.08425
1806,68.59585
1807,68.59585
1808,68.229546
1809,68.229546
1810,68.229546
1811,67.91209
1812,67.91209
1813,67.66789
1814,67.66789
1815,67.66789
1816,67.448105
1817,67.448105
1818,66.98413
1819,66.98413
1820,66.568985
1821,66.568985
1822,66.568985
1823,66.007324
1824,66.007324
1825,64.44444
1826,64.44444
1827,64.44444
1828,63.394386
1829,63.394386
1830,62.197803
1831,62.197803
1832,59.3895
1833,59.3895
1834,59.3895
1835,57.89988
1836,57.89988
1837,56.361416
1838,56.361416
1839,56.361416
1840,54.114777
1841,54.114777
1842,52.72283
1843,52.72283
1844,51.45299
1845,51.45299
1846,51.45299
1847,50.305252
1848,50.305252
1849,48.88889
1850,48.88889
1851,48.88889
1852,48.15629
1853,48.15629
1854,47.545788
1855,47.545788
1856,46.862026
1857,46.862026
1858,46.862026
1859,46.544567
1860,46.544567
1861,46.275948
1862,46.275948
1863,46.275948
1864,46.056168
1865,46.056168
1866,45.860806
1867,45.860806
1868,45.689865
1869,45.689865
1870,45.689865
1871,45.518925
1872,45.518925
1873,45.274727
1874,45.274727
